user_id,ratings_given,avg_rating
15000,60,3.933333333333333
15001,21,4.095238095238095
15002,65,4.069230769230769
15004,34,4.205882352941177
15005,53,3.8867924528301887
15007,29,3.8448275862068964
15015,62,4.096774193548387
15017,10,4.3
15019,14,3.642857142857143
15020,68,4.294117647058823
15021,58,3.7672413793103448
15022,40,3.9875
15023,58,4.077586206896552
15024,32,3.859375
15030,67,3.9328358208955225
15035,28,3.9285714285714284
15039,22,3.8863636363636362
15040,22,4.295454545454546
15044,57,4.017543859649122
15049,9,4.388888888888889
15052,31,3.9838709677419355
15054,44,4.159090909090909
15056,61,4.155737704918033
15059,11,4.045454545454546
15061,11,4.136363636363637
15063,38,4.223684210526316
15072,61,3.8114754098360657
15073,11,4.318181818181818
15074,54,3.9166666666666665
15076,7,3.7142857142857144
15077,70,3.9285714285714284
15078,64,3.953125
15079,10,3.8
15081,45,4.0777777777777775
15082,45,4.144444444444445
15083,50,4.0
15085,51,4.2254901960784315
15086,15,3.933333333333333
15094,46,4.0978260869565215
15095,67,3.91044776119403
15098,41,4.048780487804878
15099,29,3.9482758620689653
15101,39,4.17948717948718
15103,65,3.876923076923077
15104,36,3.986111111111111
15105,22,3.9318181818181817
15107,64,4.0078125
15110,54,4.166666666666667
15112,70,3.835714285714286
15115,40,4.0125
15119,39,3.8846153846153846
15120,29,4.086206896551724
15124,10,2.95
15125,53,4.056603773584905
15126,41,4.0
15128,9,3.9444444444444446
15130,52,3.9903846153846154
15134,21,3.7142857142857144
15136,37,3.8378378378378377
15139,37,3.972972972972973
15141,20,3.775
15145,17,4.117647058823529
15150,16,3.8125
15152,36,3.9305555555555554
15154,37,4.216216216216216
15156,53,4.084905660377358
15158,40,3.875
15165,23,4.1521739130434785
15166,42,3.869047619047619
15167,28,4.267857142857143
15168,35,4.0
15169,59,4.084745762711864
15171,34,3.8823529411764706
15172,19,4.2631578947368425
15173,5,4.3
15175,61,3.8934426229508197
15178,36,3.9444444444444446
15179,55,3.963636363636364
15183,7,4.357142857142857
15192,28,4.035714285714286
15193,23,4.086956521739131
15194,63,3.888888888888889
15196,8,4.25
15198,48,3.9166666666666665
15199,32,4.171875
15202,47,4.180851063829787
15205,33,4.045454545454546
15207,35,4.071428571428571
15209,37,4.121621621621622
